bus_id,time,ridership_count
6555,600,0
6556,600,0
6555,605,0
6556,605,0
6555,610,0
6556,610,0
6555,615,0
6556,615,0
13216,620,0
17625,620,1
19412,620,0
6556,620,0
13211,620,0
13213,620,0
6555,620,0
13213,625,0
13216,625,0
6555,625,0
19412,625,0
13211,625,0
17625,625,1
6556,625,0
17625,630,1
13213,630,0
13216,630,0
19412,630,0
6555,630,0
13211,630,0
6556,630,0
17625,635,1
19412,635,1
6555,635,0
13211,635,0
6556,635,0
13213,635,0
13216,635,0
17625,640,0
19412,640,0
13216,640,0
6556,640,0
13213,640,0
6555,640,0
13211,640,0
6556,645,0
13211,645,0
13216,645,0
19412,645,0
6555,645,0
17625,645,0
13213,645,0
13213,650,1
13211,650,0
13216,650,0
6556,650,0
6555,650,0
17625,650,0
19412,650,0
6557,650,0
6556,655,0
6555,655,0
19412,655,0
13216,655,0
6557,655,0
13213,655,1
13211,655,0
17625,655,0
19412,660,1
15188,660,0
13216,660,0
6556,660,0
6557,660,0
6555,660,0
18020,660,0
18014,660,0
17625,660,0
13211,660,0
13213,660,1
4885,660,0
4856,665,0
6556,665,0
19412,665,1
15188,665,1
6557,665,0
13211,665,0
6555,665,0
4885,665,0
4864,665,0
4857,665,0
18014,665,0
13216,665,0
6553,665,0
18020,665,0
13213,665,0
17625,665,0
4864,670,0
13211,670,0
6553,670,0
20283,670,0
4856,670,1
4857,670,0
7151,670,0
13213,670,1
6556,670,0
13208,670,0
13209,670,0
17625,670,1
13216,670,0
6557,670,0
18020,670,0
18014,670,0
19412,670,2
6555,670,0
4885,670,0
15188,670,0
7149,675,0
7151,675,0
13216,675,0
13209,675,1
13215,675,0
19412,675,1
13208,675,0
4885,675,0
18014,675,0
18620,675,0
4864,675,0
18020,675,0
6553,675,0
13213,675,2
6557,675,0
20283,675,0
15188,675,0
6556,675,0
4857,675,0
17625,675,1
6555,675,0
13211,675,1
4856,675,1
4857,680,0
19412,680,1
6555,680,0
4885,680,0
13211,680,0
4864,680,0
18620,680,0
18014,680,0
15188,680,0
18020,680,0
6556,680,0
6553,680,0
13213,680,0
18021,680,0
4856,680,2
13208,680,0
7151,680,1
20283,680,2
6557,680,0
7149,680,0
13216,680,0
17625,680,1
13209,680,1
15187,680,0
13215,680,0
17625,685,1
18014,685,0
13213,685,2
15187,685,0
4857,685,1
13215,685,1
18020,685,0
6553,685,0
20283,685,2
19051,685,0
13208,685,0
6556,685,0
7149,685,0
6557,685,0
4864,685,1
9418,685,0
13211,685,0
13209,685,1
18021,685,1
13216,685,0
15188,685,0
4885,685,0
6555,685,0
4856,685,2
